Fototeny,sampateny
heroka,mangeroka
heroka,herokeroka
herokeroka,mangerokeroka
herongerona,"aherongerona, anerongeronana, fanerongerona, fanerongeronana, fiherongerona, fiherongeronana, herongeronina, iherongeronana, mahaherongerona, manerongerona, miherongerona, mpanerongerona, mpiherongerona, tafaherongerona, voaherongerona"
herotra,"fanerotra, herotrerony, herotrerotra, manerotra, mpanerotra"
hetaheta,"fangetahetana, fangetahetana, mampangetaheta"
hetaheta,"angetahetana, fangetaheta, mangetaheta, mpangetaheta"
hete,"ampañete, mahahete, mampañete, mampihete, mifampihete, mihete, pañete, pihete, voahete"
hety,"fañety, fanety, manety"
hety,"ahety, anetezana, fanetezana, fihetezana, fihety, hetezana, ihetezana, mahahety, mampanety, mampifanety, mihety, mpanety, mpihety, voahety"
hetotra,angetorana
hetotra,"fangetorana, fangetorina, fangetotra, mangetotra, mpangetotra"
hetotse,"mampangetotse, mangetotse, pangetotse"
hetra,"fihetra, fihetrana, hetrana, ihetrana, mahahetra, mihetra"
hetrahetra,"fihetrahetra, fihetrahetrana, ihetrahetrana, mihetrahetra, mpihetrahetra, tafahetrahetra"
hetraketraka,"fihetraketraka, ihetraketrahana, mihetrakeraka, mpihetraketraka"
hetraketraka,"fihetraketrahana, hetraketrahina, mihetraketraka"
hetraketraky,mangetraketraky
hetrika,"hetriketrika, mangetrika"
hetriketrika,"anetriketrehana, angetriketrehana, fanetriketrehana, fanetriketrika, fangetriketrehana, manetriketrika, mangetriketrika"
hetrina,hetrinketrina
hetrinketrina,"fanetrinketrina, manetrinketrina"
hetsaka,"fanetsahana, manetsaka"
hetse,"mampahetse, pahetse"
hetseke,"ahetsike, fihetsike, mahahetseke, mampihetseke, mañetsike, mifañetsike, mihamihetsike, mihetseke"
hetsy,"hetsihetsy, hetsihetsy"
hetsy,anetsiny
hetsy,mahetsy
hetsika,"ahetsika, anetsehana, fanetsehana, fanetsika, fihetsehana, fihetsika, hetsehina, hetsiketsika, ihetsehana, mahahetsika, manetsika, mihetsika, mpanetsika, tafahetsika, voahetsika"
hetsike,pañetsike
hetsiketsika,"fanetsiketsehana, fihetsiketsehana"
hetsiketsika,"ahetsiketsika, fihetsiketsika, manetsiketsika, mihetsiketsika"
hetsiketsiky,"mañetsiketsiky, mihetsiketsiky"
heva,"ihevahevana, mitsingevaheva"
heva,"faneva, hevaheva"
hevaheva,anevahevana
hevaheva,"ahevaheva, fanevaheva, fanevahevana, fihevaheva, fihevahevana, hevahevaina, mahahevaheva, manevaheva, mihevaheva, mpanevaheva, mpihevaheva, tafahevaheva, voahevaheva"
hevy,"hevihevy, mañevy"
hevihevy,"ahevihevy, fihevihevena, fihevihevezana, fihevihevy, ihevihevena, mahahevihevy, mihevihevy, tafahevihevy"
hevingevina,"ahevingevina, anevingevenana, fanevingevenana, fanevingevina, fihevingevenana, fihevingevina, hevingevenina, ihevingevenana, mahahevingevina, manevingevina, mihevingevina, mpanevingevina, mpihevingevina, tafahevingevina, voahevingevina"
hevitra,"fifampiheverana, tsingevitra"
hevitra,"ahevitra, fiheverana, fihevitra, heverina, heverina, hevitrevitra, iheverana, mahahevitra, mihevitra, mpihevitra, voahevitra"
hevitse,"mampihevitse, mihevitse, voahevetse"
hevo,"ahevo, fihevo, fihevoana, hevoina, ihevoana, mahahevo, mihevo, mpihevo, voahevo"
heza,"fiheza, mampieza, manaheza, miheza"
heza,"aheza, anezana, faneza, fanezana, hezaina, mahaheza, maneza, mpaneza, voaheza"
hezaheza,tangezaheza
hezaheza,"ahezaheza, fihezaheza, fihezahezana, ihezahezana, mahahezaheza, mangezaheza, mihezaheza, mpihezaheza, tafahezaheza"
hezo,mihezo
hy,"mampihy, mihy, pihy"
hia,"fahia, fankahiazana, fihahia, pañia"
hia,"ankahiazana, fahahiazana, fahiazana, fankahia, hahia, hahiazana, mahia, mampahia, mankahia, mpampahia, mpankahia"
hiaka,ankiaka
hiaka,"fihiaka, hiakiaka, mahahiaka, mihiaka, mpihiaka"
hiaka,"hiakiaka, mangiaka"
hiboka,"ampihibohana, ihibohana, mampihiboka"
hiboka,"ahiboka, anibohana, fanibohana, faniboka, fihiboana, fihibohana, fihiboka, hibohana, hibokiboka, ihiboana, mahahiboka, maniboka, mihiboka, mpaniboka, mpihiboka, tafahiboka, voahiboka"
hiboke,"mañiboke, mihiboke"
hidy,"mangidy, mihidihidy"
hidy,"ahidy, anidiana, fahidiana, fanidy, fanidiana, fihidy, fihidiana, hidiana, hidihidy, hinidy, ihidiana, kahidy, mahahidy, mahidy, manidy, mihidy, mpanidy, mpihidy, tafahidy, voahidy"
hidihidy,"fangidihidy, fangidihidiana"
hidihidy,mangidihidy
hidihidy,ahidihidy
hifatra,mañifatra
hifika,"ahifika, anifihana, fanifihana, fanifika, fihifihana, fihifika, hifikifika, ihifiana, ihifihana, mahahifika, manifika, mihifika, mpanifika, mpihifika, tafahifika, voahifika"
hifiky,mihifiky
hifikifika,"fanifikifihana, manifikifika, mihifikifika"
hifotra,"ahifotra, aniforana, faniforana, fanifotra, fihiforana, fihifotra, hiforana, hifotrifotra, mahahifotra, manifotra, mihifotra, mpanifotra, mpihifotra, voahifotra"
hifotrifotra,mihifotrifotra
hihy,"mampanihy, pañihy"
hihy,"ahihy, anihisana, fanihy, fanihisana, fihihy, fihihisana, hihisana, ihihisana, mahahihy, manihy, mihihy, mpanihy, mpihihy, voahihy"
hihitra,"ahihirana, fahihirana, fahihitra, fihihirana, fihihitra, hihirana, hihirina, ihihirana, kahihitra, mahahihitra, mahihitra, mihihitra, mpahihitra, mpihihitra, tafahihitra"
hihitse,"mahihitse, mampahihitse, mihamahihitse, pahihitse"
hika,"ahika, fihika, fihikana, ihikana, mahahika, mihika, mpihika, tafahika"
hike,mahahike
hila,"fahila, mampihila, manilahila, mihamihila, pihila, voahila"
hila,hilahila
hilahila,tsingilahila
hilahila,"ahilahila, anilahilana, fanilahila, fanilahilana, fihilahila, fihilahilana, hilahilaina, ihilahilana, mahahilahila, mangilahila, mihilahila, mpanilahila, mpihilahila, tafahilahila, voahilahila"
hilana,ampihilanana
hilana,"ahilana, anilanana, fanilana, fanilanana, fihilana, fihilanana, hilangilana, ihilanana, mihilana, mpanilana, mpihilana, tafahilana, tongilana, voahilana"
hilangilana,"ahilangilana, fanilangilanana, fihilangilanana, hilangilanina, manilangilana, mihilangilana, tafahilangilana, voahilangilana"
hily,"ahily, fahily, fangily, mahahily, mampañily, mangily, mihamihily, mihily, pangily, pañily, pihily, voahily"
hilika,ahilika
hiliky,mañiliky
hilohilo,"fangilohilo, mangilohilo"
hilontrilona,"ahilontrilona, fihilontrilona, mihilontrilona, mpihilontrilona"
hilotse,"fihilotse, mahahilotse, mampihilotse, mihilotse, pihilotse"
himake,"fihimake, manimake, mihimake"
himoka,"ahimoka, fihimohana, fihimoka, himohina, himokimoka, ihimohana, mahahimoka, mihimoka, mpihimoka, tafahimoka, takimoka"
himokimoka,mihimokimoka
himokimoka,"fihimokimohana, fihimokimoka, himokimohina"
himpa,"ahimpa, fahimpa, mahahimpa, mampañimpa, mampihimpa, mihimpa, pañimpa, pihimpa, voahimpa"
himpy,mihimpy
himpona,manimpona
hina,"fampihina, mampihina"
hina,mihina
hinaka,"hinakinaka, hinakinaka"
hinakinaka,"faninakinaka, faninakinaka"
hinakinaka,"fihinakinaka, mihinakinaka"
hinakinaka,"ahinakinaka, aninakinahana, faninakinahana, hinakinahina, mahahinakinaka, maninakinaka, mpaninakinaka, voahinakinaka"
hinana,"fampihinana, fihinana, fihinanana, fihinanana, hinankinana, ihinanana, mahahinana, mampihinana, mihinana, mpihinana"
hindalo,mañindalo
hindrahindra,"ahindrahindra, anindrahindrana, fanindrahindra, fanindrahindrana, fihindrahindra, fihindrahindrana, hindrahindraina, ihindrahindrana, mampihindrahindra, manindrahindra, mihindrahindra, mpanindrahindra, mpihindrahindra, sahindrahindra, tafahindrahindra, voahindrahindra"
hinjaka,tominjaka
hinjaka,"ahinjaka, fihinjahana, fihinjaka, hinjahana, hinjahina, hinjakinjaka, ihinjahana, mahahinjaka, mihinjaka, mpihinjaka, tafahinjaka, tohinjaka"
hinjakinjaka,mihinjakinjaka
hinjihinjy,"ahinjihinjy, fihinjihinjy, fihinjihinjiana, ihinjihinjiana, mahahinjihinjy, maninjihinjy, mihinjihinjy, mpihinjihinjy, tafahinjihinjy, voahinjihinjy"
hinjitra,"ahinjitra, aninjirana, faninjirana, faninjitra, fihinjirana, fihinjitra, hinjirina, hinjitrinjitra, ihinjirana, mahahinjitra, mañinjitra, maninjitra, mihinjitra, mpaninjitra, mpihinjitra, tafahinjitra, voahinjitra"
hinjitrinjitra,mihinjitrinjitra
hinjoke,"ahinjoke, fihinjoke, mampañinjoke, mihinjoke, pihinjoke"
hintsa,"ahintsa, mahahintsa, mampañintsa, mampihintsa, mañintsa, mifañintsa, mihamihintsa, mihintsa, pifañintsa, pihintsa, voahintsa"
hintsana,"ahintsana, anintsanana, fanintsana, fanintsanana, fifanintsanana, fihintsana, fihintsanana, hintsankintsana, ihintsanana, mahahintsana, manintsana, mihintsana, mpanintsana, mpihintsana, voahintsana"
hintsy,mangintsy
hintsina,"hintsingintsina, mangintsina"
hintsingintsina,"fangintsingintsina, mangintsingintsina"
hipoka,"ahipoka, fihipoka, hipohana, mihipoka, voahipoka"
hira,"ampihira, fihira, mahahira, mampihira, pihira, voahira"
hira,"fihirana, hirahira, hiraina, ihirana, mihira, mpihira"
hirahira,mihirahira
hirana,"fangirana, hirangirana, mangirana"
hirangirana,"fangirangirana, hirangiranina, mangirangirana"
hiratra,mampihiratra
hiratra,"ahiratana, ahiratra, fahiratana, fahiratra, fihiratana, fihiratra, hiratriratra, ihiratana, mahahiratra, mahiratra, mihiratra, mpahiratra, tafahiratra, voahiratra"
hiratry,mihiratry
hiratriratra,mihiratriratra
hiry,"ahiry, mampihiry, mihamihiry, mihiry, pihiry, voahiry"
hirifire,"mampangirifire, mangirifire"
hirifiry,"angirifiriana, fangirifiry, fangirifiriana, mampangirifiry, mangirifiry"
hirihiry,"ahirihiry, fihirihiry, fihirihiriana, ihirihiriana, mahahirihiry, mihirihiry, mpihirihiry, tafahirihiry"
hirika,"fangirihirihana, tangirika"
hirika,"ahirika, angirihana, fangirihana, fangirika, fihirifana, hirifana, hirihana, mahahirika, mangirika, mpangirika, voahirika"
hirike,"ahirike, mahahirike, mampañirike, mangirike, mihirike, pañirike, voahirike"
hirina,anirina
hirina,"ahirina, anirinana, fanirina, fanirinana, fihirinana, hiringirina, hirinkirina, ihirinana, mahahirina, manirina, mihirina, mpanirina, mpihirina, tafahirina, voahirina"
hiringirina,"ahiringirina, fangiringirihana, fihiringirina, fihiringirinana, ihiringirinana, mampihiringirina, mifampihiringirina, mihiringirina, mpihiringirina"
hirinkirina,"ahirinkirina, fihirinkirina, fihirinkirinana, ihirinkirinana, mihirinkirina, mpihirinkirina"
hisa,"fampisa, fihisa, mampisa, pisa"
hisatra,"fihisarana, ihisarana"
hisatra,"ahisatra, anisarana, fanisarana, fanisatra, fihisatra, hisatrisatra, mahahisatra, manisatra, mihisatra, mpanisatra, mpihisatra, tafahisatra"
hisina,hisinkisina
hita,"ampahita, fampahita, fifankahita, fihita, mihamahita, pahita, pifankahita, pihita"
hita,ahitana
hita,"fahita, fahitana, hitahita, ifankahitana, mahita, mampahita, mampifahita, mampifankahita, mifahita, mifankahita, mpahita"
hitakitaka,"angitakitahana, fangitakitahana, fangitakitaka, mampangitakitaka, mangitakitaka, mpangitakitaka"
hity,"ahity, mahahity, mahity, mampahity, mihamahity, pañity, voahity"
hitika,"fihitika, mihitika"
hitika,"hitikitika, mpihitika"
hitikitika,"fihitikitihana, fihitikitika, ihitikitihana, mihitikitika, mpanitikitika"
hitikitika,"ahitikitika, fangitikitika, hitikitihina, mahahitikitika, mangitikitika, mpangitikitika, mpanitikikita, voahitikitika"
hitikitika,angitikitihana
hitikitike,"mampangitikitike, mangitikitike, pangitikitike"
hitoka,hitokitoka
hitokitoka,mañitokitoka
hitrika,"tangitrika, tangitrika"
hitrika,hitrikitrika
hitrikitrika,"mangitrikitrika, mangitrikitrika"
hitrikitrika,"ahitrikitrika, anitrikitrihana, fanitrikitrihana, fanitrikitrika, fihitrikitrihana, fihitrikitrika, hitrikitrihana, hitrikitrihina, ihitrikitrihana, mahahitaikitrika, manitrikitrika, mihitrikitrika, mpanitrikitrika, mpihitrikitrika, tafahitrikitrika, voahitrikitrika"
hitsaka,"hinitsaka, ifanitsahana, manitsaka, manitsaka"
hitsaka,"ahitsaka, anitsahana, fanitsahana, fanitsaka, hitsahina, hitsakitsaka, mahahitsaka, mifanitsaka, mpanitsaka, voahitsaka"
hitsake,"ahitsake, mahahitsake, mampañitsake, mifañitsake, pañitsake, pifañitsake, voahitsake"
hitsakitsaka,"anitsakitsahana, fanitsakitsahana, manitsakitsaka, voahitsakitsaka"
hitsy,"fanitsiana, mihitsy, mihitsy"
hitsy,"ahitsy, anitsiana, fahitsy, fahitsiana, fanitsy, fihitsy, fihitsiana, hitsihitsy, hitsina, ihitsiana, mahahitsy, mahitsy, manitsy, mifanitsy, mpanitsy, mpihitsy"
hitsihitsy,mihitsihitsy
hitsike,"ahitsike, mahahitsike, mampañitsike, mampihitsike, mifañitsike, mihamihitsike, pañitsike, pifañitsike, pihitsike"
hitsiky,"manitsiky, mihitsiky"
hitsikitsika,hitsikitsihana
hitsoka,"ahitsoka, fihitsohana, fihitsoka, ihitsohana, mampihitsoka, mihitsoka, mpihitsoka, tafahitsoka, voahitsoka"
hitsoka,hitsokitsoka
hitsokitsoka,"mangitsokitsoka, mihitsokitsoka"
hivina,hivingivina
hivingivina,"ahivingivina, fihivingivina, fihivingivinana, ihivingivinana, mahahivingivina, mihivingivina, mpihivingivina, tafahivingivina, voahivingivina"
hivoka,"fanivohana, fanivoka, manivoka, mihivokivoka"
hivoka,"ahivoka, ampihivohana, fampihivohana, fampihivoka, fihivohana, fihivoka, hivohana, hivokivoka, ihivohana, mahahivoka, mampihivoka, mihivoka, mpampihivoka, mpihivoka, tafahivoka, voahivoka"
hizihizy,mihizihizy
hizina,"hizinina, ihizana, ihizingizinana, mifanizina, mihizingizina"
hizina,"ahizina, anizinana, fanizinana, fihizina, fihizinana, hizinana, hizinkizina, ihizinana, mahahizina, mihizina, mitanizina, mpihizina, tafahizina, tangizina, voahizina"
hiziñy,mahiziñy
hizitra,"ahizitra, hizirina, mihizitra"
hoa,mihoa
hoaka,hoakoaka
hoaka,"anoahana, fanoahana, fanoaka, fihoaka, mangoaka, manoaka, mihoaka, mpanoaka"
hoakoaka,"fanoakoaka, fihoakoahana, fihoakoaka, ihoakoahana, mangoakoaka, manoakoaka, mihoakoaka, mpanoakoaka"
hoalahoala,"ahoalahoala, fihoalahoala, fihoalahoalana, ihoalahoalana, mihoalahoala, tafahoalahoala"
hoatra,"ahoatra, anoarana, hoarina, ihoarana, mahahoatra, manoatra, mihoatra, tafahoatra"
hoatra,"fanoarana, fanoatra, fihoarana, fihoatra"
hobaiña,"mañobaiña, mifanobaiña"
hobaka,"hobakobaka, mangobaka"
hobakobaka,mangobakobaka
hobana,hobankobana
hobankobana,"ahobankobana, fihobankobana, fihobankobanana, hobankobanina, ihobankobanana, mihobankobana"
hoby,"fihobena, fihoby, fihobiana, hobena, hobiana, hobihoby, hobina, ihobena, ihobiana, mahahoby, mihoby, mpihoby, voahoby"
hobohobo,"anobohoboana, hobohoboina, manobohobo, voahobohobo"
hobohobo,hobohoboina
hodahoda,"fihodahoda, fihodahodana, hodahodaina, ihodahodana, mihodahoda, mpihodahoda"
hodidy,"ahodidy, mahahodidy, mampañodidy, mañodidy, mihodidy, pañodidy, pihodidy, voahodidy"
hodidina,"ahodidina, anodidinana, fanodidina, fanodidinana, fihodidina, fihodidinana, hodidindidina, hodidinina, ihodidinana, mahahodidina, manodidina, mihodidina, mpanodidina, mpihodidina, tafahodidina, voahodidina"
hodina,"ahodina, anodinana, fanodina, fanodinana, fihodina, fihodinana, hodinkodina, ihodinana, mahahodina, mampihodina, manodina, mifampihodina, mihodina, mpihodina, sangodina, tafahodina, voahodina"
hodinkodina,"ahodinkodina, fihodinkodinana, manodinkodina, mihodinkodina"
hoditra,"hodirana, takoditra"
hoditra,"anodirana, fanodirana, fanoditra, fihodirana, hodirina, hoditroditra, mahahoditra, manoditra, mihoditra, mpanoditra"
hodivitra,"ahodivitra, anodivirana, fanodivirana, fanodivitra, fihodivirana, fihodivitra, hodividivitra, hodivirana, hodivirina, ihodivirana, mahahodivitra, manodivitra, mihodivitra, mpanodivitra, mpihodivitra, tafahodivitra, voahodivitra"
hodrahodra,"ahodrahodra, fihodrahodra, fihodrahodrana, ihodrahodrana, mihodrahodra, voahodrahodra"
hodrohodro,"fihodrohodro, fihodrohodroana, ihodrohodroana, mihodrohodro, mpihodrohodro"
hoesa,makoesa
hofa,"ahofa, ahofa, ampañofa, anofana, fahofa, fampañofa, fanofa, fanofa, fanofana, fanofana, hinofa, hofana, hofana, manofa, manofa, mifanofa, mpampanofa, mpanofa, pañofa, voahofa"
hofa,"ampanofaina, mahofa, mampanofa, mihofa"
hofa,"hofahofa, hofaina, mahahofa"
hofahofa,"manofahofa, mihofahofa"
hofahofa,ahofahofa
hofaka,hofakofaka
hofakofaka,"ahofakofaka, ahofakofaka, fanofakofaka, fihofakofahana, fihofakofaka, ihofakofahana, mihofakofaka, mihofakofaka, mpihofakofaka"
hofakofaka,"anofakofahana, fanofakofahana, hofakofahina, manofakofaka, miofakofaka, mpanofakofaka, tafahofakofaka, voahofakofaka"
hofe,mañofe
hofy,"hofasa, mañofy"
hofoka,hofokofoka
hofokofoka,"ahofokofoka, anofokofohana, fanofokofohana, fanofokofoka, fihofokofohana, fihofokofoka, hofokofohina, ihofokofohana, mahahofokofoka, manofokofoka, mihofokofoka, mpanofokofoka, mpihofokofoka, voahofokofoka"
hoga,hogahoga
hogahoga,"fihogahoga, fihogahogana, hogahogaina, ihogahogana, mahahogahoga, mihogahoga, mpihogahoga"
hogo,fanogo
hogo,"ahogo, anogoana, fanogoana, fihogo, fihogoana, hogohogo, hogoina, ihogoana, mahahogo, mampihogo, manogo, mifampihogo, mihogo, mpanogo, mpihogo, voahogo"
hoha,"fihoha, fihohana, fihohazana, hohahoha, hohaina, ihohana, mahahoha, mihoha, mpihoha, voahoha"
hohahoha,mihohahoha
hohy,"ahohy, anohazana, fanohazana, fihohy, hohazana, hohihohy, ihohazana, mahahohy, manohy, mihohy, mpanohy, mpihohy, voahohy"
hoho,hohoina
hohoka,"fifanohoka, mampihohoka, mpifanohoka"
hohoka,"ahohoka, anankohofana, ankohofina, ankohoka, ankohonkohoka, anohofana, fanankohofana, fanankohoka, fiankohofana, fiankohoka, fihohofana, fihohoka, hohofana, hohokohoka, iankohofana, ihohofana, mahahohoka, manankohoka, manohoka, miankohoka, mifanohoka, mihohoka, mpanankohoka, mpanohoka, mpiankohoka, mpihohoka, tafahohoka, voahohoka"
hohoke,"ahohoke, fahohoke, mampañohoke, mampihohoke, mihohoke, pihohoke, voahohoke"
hohona,"ahohona, ahohony, ankohonana, anohonana, fihohona, fihohonana, hohonina, hohonkohona, ihohonana, mahahohona, mihohona, mpanohona, mpihohona, voahohona"
hoy,mihoy
hoika,mihoika
hola,aholaña
holaitra,"fiholairana, fiholaitra, iholairana, miholaitra, mpiholaitra"
holaky,mañolaky
holantrolana,"fiholantrolana, fiholantrolanana, iholantrolanana, miholantrolana, mpiholantrolana"
holatra,fanolatra
holatra,manolatra
holatse,"mahaholatse, mampañolatse, mañolatse"
holeleake,miholeleake
holy,"fiholy, fiholiana, holiholy, iholiana, miholy, mpiholy"
holika,tangolika
holika,fangolehana
holitse,"mampañolitse, miholitse, pañolitse, voaholitse"
holo,"mampiholo, miholo, piholo"
holoka,"fangoloka, holokoloka, mangoloka"
holokoloka,mangolokoloka
hololoike,"fihololoike, mampihololoike, mihololoike, pihololoike"
homake,"fihomake, mihomake"
homana,homamiadana
homaranantsody,"fihomaranantsody, mihomaranantsody"
homarantsody,"fihomarantsody, mihomarantsody"
hombo,"ahombo, anomboana, fanomboana, fihombo, fihomboana, homboana, hombohombo, ihomboana, mahahombo, manombo, mihombo, mpanombo, mpihombo, tafahombo, voahombo"
hombona,mihombona
homehy,"fihomehy, homehimehy, ihomehezana, mahahomehy, mampihomehy, mihomehy, mpihomehy"
homehimehy,mihomehimehy
homoka,"fanomokomohana, homohina, homokomoka, manomoka, mihomoka"
homoke,"mampihomoke, mihomoke, pihomoke"
homoky,mañomoky
homokomoka,"fanomokomoka, fihomokomohana, fihomokomoka, homokomohina, ihomokomohana, mahahomokomoka, manomokomoka, mihomokomoka, mpanomokomoka, mpihomokomoka, voahomokomoka"
homosy,homosimosy
hona,honahona
honahona,mangonahona
honaka,inonahana
honaka,"ahonaka, anonahana, fanonahana, fanonaka, fihonaka, honahina, honakonaka, manonaka, mihonaka, mpanonaka, mpihonaka, sahonaka, tafahonaka, voahonaka"
honakonaka,"fihonahonahana, ihonahonahana"
honankonana,"fihonankonana, mihonankonana, mpihonankonana"
hondrahondra,sahondrahondra
hondrahondra,"ahondrahondra, mihondrahondra, voahondrahondra"
hondrahondra,"fihondrahondra, fihondrahondrana, ihondrahondrana, mihondrahondra, mpihondrahondra"
hondratra,"fihondratana, fihondratra, hondratrondratra, ihondratana, mihondratra"
hondry,"mañondry, mifañondry"
hondrokondroka,"anondrokondrohana, fanondrokondrohana, fanondrokondroka, fihondrokondroka, hondrokondrohana, mahahondrokondroka, manondrokondroka, mihondrokondroka, mpihondrokondroka"
honikonika,mihonikonika
honikonika,"ahonikonika, fihonikonihana, fihonikonika, fihonokonika, ihonikonihana, mihonikokika, mpihonikonika"
honikonina,mpihoninkonina
honina,honinkonina
honinkonina,"fihoninkonenana, fihoninkonina, ihoninkonenana, mihoninkonina"
honkona,fanonkona
honkona,"ahonkona, anonkonana, fanonkonana, honkonana, manonkona, mihonkona, mpanonkona, voahonkona"
hono,"honohono, honoina, mihono"
honofy,mañonofy
honohono,"honohonoina, mihonohono"
hontihonty,"fihontihonty, fihontihontiana, ihontihontiana, mihontihonty, mpihontihonty"
hontoke,"fihontoke, mahahontoke, mampihontoke, mihontoke, pihontoke"
hontsa,"ahontsa, fahontsana, hontsahontsa, hontsaina, hontsana, mahahontsa, manontsa"
hontsana,"fanontsana, hontsankontsana"
hontsana,"ahontsana, anontsanana, fanontsanana, fihontsana, fihontsanana, hontsanana, ihontsanana, manontsana, mihontsana, mpanontsana, mpihontsana, voahontsana"
hontsankontsana,"ahontsankontsana, fihontsankontsanana, mihontsankontsana"
hontsina,"fangontsina, fangontsinana, mangontsina"
hontsina,"ahontsina, anontsinana, fanontsina, fanontsinana, fihontsina, fihontsinana, hontsinina, hontsinkontsina, ihontsinana, mahahontsina, manontsina, mihontsina, mpanontsina, mpihontsina, voahontsina"
hontsinkontsina,mihontsinkontsina
hontsona,"anontsonana, fihontsonana, ihontsonana, manontsona, mpihontsona"
hontsona,"ahontsona, fanontsona, fanontsonana, fihontsona, hontsonina"
hopaka,"ahopaka, fihopahana, fihopaka, hopakopaka, ihopahana, mahahopaka, mihopaka"
hopetaka,tangopetaka
hopetaka,"fangopetaka, mangopetaka"
horaka,"fangoraka, horahina, horahina, horakoraka, horakoraka"
horàka,"horadràka, mangoràka"
horaka,"fihorahana, fihoraka, ihorahana, mahahoraka, mahoraka, mihoraka, mpihoraka, voahoraka"
horaka,"angorahana, mampangoraka, mangoraka, mpangoraka"
horakoraka,"horakorahina, manorakoraka"
horakoraka,mihorakoraka
horakoraka,"fangorakorahana, fihorakorahana, mangorakoraka"
horangorana,mangorangorana
horatsaka,"fangoratsaka, horatsadratsaka, mangoratsaka"
horiaka,"fihoriahana, horiadriaka, ihoriahana, mihoriaka"
horika,"fihorehana, fihorika, horehina, horikorika, ihorehana, mahahorika, mihorika, mpihorika, tafahorika"
horikorika,mihorikorika
horintsina,"angorintsinana, fangorintsina, fangorintsinana, horintsindrintsina, mangorintsina, mpangorintsina"
horipika,"fihoripihana, fihoripika, horipidripika, ihoripihana, mihoripika, mpihoripika, tafahoripika"
horira,"ahorira, mampihorira, mañorira, mihorira, pihorira, voahorira"
horirana,"ahorirana, anoriranana, fanorirana, fanoriranana, fihorirana, fihoriranana, horirandrirana, horiranina, ihoriranana, mahahorirana, manorirana, mihorirana, mpanorirana, mpihorirana, tafahorirana, voahorirana"
horo,"fahoro, fihoro, mahahoro, mampihoro, mihamihoro, mihoro, pangoro, pañoro, pihoro, voahoro"
horobo,mañorobo
horododo,"ahorododo, fihorododo, mampihorododo"
horohoro,"ampañorohoro, mampañorohoro, mañorohoro, mifañorohoro, pañorohoro, voahorohoro"
horohoro,"fihorohoro, fihorohoroana, ihorohoroana, mampihorohoro, mangorohoro, mihorohoro, mpihorohoro"
horona,"fangorona, manorona"
horona,"ahorona, angoronana, fangoronana, fihorona, fihoronana, horonana, horongorona, ihoronana, mahahorona, mangorona, mihorona, mpangorona, mpihorona, tafahorona, tangorona, voahorona"
horontsina,mangorontsina
horontsona,mangorontsona
hororoky,"mifanororoky, mihororoky"
horotsoka,mangorotsoka
horovitsika,mangorovitsika
hosa,"mahahosa, mampañosa, mifañosa, pifañosa, voahosa"
hosa,pañosa
hosy,"ahosy, anosena, fanosena, fanosy, fihosena, fihosy, hosena, hosihosy, ihosena, mahahosy, mampihosy, manosy, maosy, mihosy, mpampihosy, mpanosy, mpihosy, voahosy"
hosihosy,manosihosy
hosiky,manakosiky
hosina,"ahosina, ahosina, fihosinkosina, hosinana, mihosina, mihosina, tankosina, voahosina"
hosina,"anosenana, fanosenana, fanosina, fihosenana, fihosina, hosenana, ihosenana, kosina, mahahosina, mpanosina, mpihosina, tafahosina"
hosina,hosinkosina
hosinkosina,"mihosinkosina, mihosinkosina"
hositra,takositra
hosoka,"fanosoka, hosokosoka"
hosoke,pañosoke
hosotra,"ankosotra, takosotra"
hosotra,"ahosotra, anosorana, fanosorana, fanosotra, fihosorana, fihosotra, hosorana, hosotrosotra, ihosorana, mahahosotra, mampanosotra, mampifanosotra, manosotra, mifanosotra, mihosotra, mpanosotra, mpihosotra, voahosotra"
hosotse,"ahosotse, fahosotse, kihosotse, mahahosotse, mampañosotse, mampihosotse, mañosotse, mifampañosotse, mifañosotse, mihosotse, pañosotse, pifañosotse, pihosotse, voahosotse"
hota,"ampihota, fampihota, fihota, fihotana, hotahota, hotaina, ihotana, kihota, mahahota, mampihota, mihota, mpihota, pihota, voahota"
hotahota,manotahota
hotakotaka,"fihotakotahana, fihotakotaka, fikotakotaka, ihotakotahana, mangotakotaka, mihotakotaka, mpihotakotaka, tafahotahotaka"
hotana,"hotankotana, kotana, mihotana"
hotika,"hotikotika, mangotika"
hotiky,mihotiky
hotikotika,"anotikotehana, hotikotehina, mangotikotika, mpanotikotika, voahotikotika"
hotikotiky,"mihotikotiky, mihotsikotiky"
hoto,"hotoina, hotoina, voahoto"
hoto,hotohoto
hoto,"fihoto, fihotoana, ihotoana, mahahoto, mihoto, mpihoto"
hotohoto,"fanotohoto, fanotohoto"
hotohoto,"anotohotoana, fanotohotoana, hotohotoina, mahahotohoto, manotohoto, mifanotohoto, mihotohoto, mpanotohoto"
hotraka,"ampangotrahina, angotrahana, fampangotrahana, fangotrahana, fangotraka, hotrakotraka, kotraka, mangotraka, motraka, mpangotraka"
hotraka,fanotrahana
hotraka,mihotraka
hotrakotraka,mangotrakotraka
hotro,"fihotro, fihotroana, ihotroana, mihotro, mpihotro"
hotroka,hotrokotroka
hotrokotroka,mangotrokotroka
hotsaka,"ahotsaka, fihotsahana, fihotsaka, hotsahana, ihotsahana, mahahotsaka, mihotsaka, voahotsaka"
